Price ($/kW)
0.0231
0.03069
0.02017
0.01783
0.01999
0.01712
0.00929
0.01558
0.00807
0.01501
0.016
0.00929
0.01604
0.01605
0.0149
0.0151
0.01808
0.01481
0.01545
0.01652
0.02053
0.01417
0.01467
0.0147
0.01421
0.01469
0.01473
0.01473
0.01661
0.01566
0.01651
0.01687
0.01389
0.01506
0.0151
0.01727
0.01507
0.01677
0.0245
0.02445
0.02464
0.02108
0.02236
0.02125
0.02594
0.01672
0.01644
0.01663
